,Unnamed: 0,Unnamed: 0.1,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode,lat,lng
183,83,3526,538 WEST 147 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,06/07/2011 07:00:00 AM +0000,Open,Unspecified,,998691.0,240583.0,"538 WEST 147 STREET, NEW YORK, NEW YORK","(40.827165, -73.948773)",40.827165,-73.948773
184,84,3527,538 WEST 138 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,05/27/2011 07:00:00 AM +0000,Open,Unspecified,,997547.0,238499.0,"538 WEST 138 STREET, NEW YORK, NEW YORK","(40.8213045, -73.9519919)",40.8213045,-73.9519919
185,85,3537,536 WEST 46 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,06/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985620.0,217178.0,"536 WEST 46 STREET, NEW YORK, NEW YORK","(40.7628745, -73.99542)",40.7628745,-73.99542
186,86,3538,536 WEST 170 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,04/09/2011 07:00:00 AM +0000,Open,Unspecified,,1001480.0,245962.0,"536 WEST 170 STREET, NEW YORK, NEW YORK","(40.8417147, -73.93756929999999)",40.8417147,-73.93756929999999
187,87,3542,535 WEST 152 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,05/12/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,999345.0,241714.0,"535 WEST 152 STREET, NEW YORK, NEW YORK","(40.830538, -73.94589599999999)",40.830538,-73.94589599999999
188,88,3546,535 EDGECOMBE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,06/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001018.0,242804.0,"535 EDGECOMBE AVENUE, NEW YORK, NEW YORK","(40.833231, -73.93964799999999)",40.833231,-73.93964799999999
189,89,3548,535 EAST 86 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,05/05/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,999264.0,221772.0,"535 EAST 86 STREET, NEW YORK, NEW YORK","(40.77553899999999, -73.94532199999999)",40.77553899999999,-73.94532199999999
190,90,3562,533 MANHATTAN AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,04/12/2011 07:00:00 AM +0000,Open,Unspecified,,997006.0,234028.0,"533 MANHATTAN AVENUE, NEW YORK, NEW YORK","(40.809125, -73.95415799999999)",40.809125,-73.95415799999999
191,91,3592,530 WEST 28 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3.0,08/15/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983360.0,213024.0,"530 WEST 28 STREET, NEW YORK, NEW YORK","(40.7512683, -74.0031492)",40.7512683,-74.0031492
192,92,3600,530 EAST 87 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,05/05/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,999268.0,222084.0,"530 EAST 87 STREET, NEW YORK, NEW YORK","(40.7759152, -73.9454478)",40.7759152,-73.9454478
193,93,3603,530 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,08/09/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,991109.0,226152.0,"530 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.787673, -73.9757319)",40.787673,-73.9757319
194,94,3640,528 WEST 39 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3.0,06/16/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,984755.0,215534.0,"528 WEST 39 STREET, NEW YORK, NEW YORK","(40.7584128, -73.99848829999999)",40.7584128,-73.99848829999999
195,95,3641,528 WEST 162 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,06/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000619.0,244021.0,"528 WEST 162 STREET, NEW YORK, NEW YORK","(40.8364199, -73.941385)",40.8364199,-73.941385
196,96,3657,526 WEST 211 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,05/11/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1006955.0,255294.0,"526 WEST 211 STREET, NEW YORK, NEW YORK","(40.7528883, -73.768935)",40.7528883,-73.768935
197,97,3669,525 WEST 169 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,07/25/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001543.0,245653.0,"525 WEST 169 STREET, NEW YORK, NEW YORK","(40.8410777, -73.93741949999999)",40.8410777,-73.93741949999999
198,98,3674,525 WEST 135 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997236.0,237778.0,"525 WEST 135 STREET, NEW YORK, NEW YORK","(40.819899, -73.953852)",40.819899,-73.953852
199,99,3697,522 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,991061.0,226065.0,"522 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.7872699, -73.9753777)",40.7872699,-73.9753777
200,0,3763,518 WEST 58 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,6.0,06/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987216.0,219917.0,"518 WEST 58 STREET, NEW YORK, NEW YORK","(40.7702069, -73.9890928)",40.7702069,-73.9890928
201,1,3765,518 WEST 145 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,05/12/2011 07:00:00 AM +0000,Open,Mail returned / wrong address,,998538.0,240050.0,"518 WEST 145 STREET, NEW YORK, NEW YORK","(40.8254779, -73.94893400000001)",40.8254779,-73.94893400000001
202,2,3769,51 8 AVENUE,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,07/15/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983178.0,208405.0,"51 8 AVENUE, NEW YORK, NEW YORK","(40.738216, -74.0040867)",40.738216,-74.0040867
203,3,3770,518 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 14,3.0,08/11/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,985874.0,214833.0,"518 9 AVENUE, NEW YORK, NEW YORK","(40.756239, -73.993894)",40.756239,-73.993894
204,4,3774,517 WEST 163 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/03/2011 07:00:00 AM +0000,Open,Unspecified,,1000745.0,244252.0,"517 WEST 163 STREET, NEW YORK, NEW YORK","(40.836913, -73.9399358)",40.836913,-73.9399358
205,5,3776,517 EAST 77 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,08/04/2011 07:00:00 AM +0000,Open,Unspecified,,997820.0,219783.0,"517 EAST 77 STREET, NEW YORK, NEW YORK","(40.76962340000001, -73.95030129999999)",40.76962340000001,-73.95030129999999
206,6,3783,516 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,991000.0,225955.0,"516 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.7869209, -73.9756311)",40.7869209,-73.9756311
207,7,3786,515 WEST 134 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,11/09/2010 08:00:00 AM +0000,Open,Unspecified,,997149.0,237493.0,"515 WEST 134 STREET, NEW YORK, NEW YORK","(40.818909, -73.953728)",40.818909,-73.953728
208,8,3802,512 WEST 162 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/02/2011 07:00:00 AM +0000,Open,Unspecified,,1000699.0,243977.0,"512 WEST 162 STREET, NEW YORK, NEW YORK","(40.836142, -73.94072)",40.836142,-73.94072
209,9,3803,512 WEST 152 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/01/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999461.0,241643.0,"512 WEST 152 STREET, NEW YORK, NEW YORK","(40.8300005, -73.9452163)",40.8300005,-73.9452163
210,10,3818,511 WEST 169 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/02/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1001676.0,245581.0,"511 WEST 169 STREET, NEW YORK, NEW YORK","(40.8407407, -73.9370016)",40.8407407,-73.9370016
211,11,3820,511 WEST 159 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000377.0,243269.0,"511 WEST 159 STREET, NEW YORK, NEW YORK","(40.8345429, -73.941549)",40.8345429,-73.941549
212,12,3834,510 WEST 218 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,07/12/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1007829.0,256786.0,"510 WEST 218 STREET, NEW YORK, NEW YORK","(40.871224, -73.9148079)",40.871224,-73.9148079
213,13,3890,509 WEST 166 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,06/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001336.0,244915.0,"509 WEST 166 STREET, NEW YORK, NEW YORK","(40.839156, -73.938253)",40.839156,-73.938253
214,14,3891,509 WEST 159 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000388.0,243263.0,"509 WEST 159 STREET, NEW YORK, NEW YORK","(40.834499, -73.941443)",40.834499,-73.941443
215,15,3901,508 WEST 15 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3.0,11/19/2010 08:00:00 AM +0000,Open,Unspecified,,982067.0,209934.0,"508 WEST 15 STREET, NEW YORK, NEW YORK","(40.7428393, -74.0078099)",40.7428393,-74.0078099
216,16,3910,507 WEST 159 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000399.0,243257.0,"507 WEST 159 STREET, NEW YORK, NEW YORK","(40.8344282, -73.9417655)",40.8344282,-73.9417655
217,17,3937,504 WEST 139 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,04/13/2011 07:00:00 AM +0000,Open,Unspecified,,997879.0,238611.0,"504 WEST 139 STREET, NEW YORK, NEW YORK","(40.821477, -73.951061)",40.821477,-73.951061
218,18,3944,503 WEST 175 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,07/06/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1002515.0,246910.0,"503 WEST 175 STREET, NEW YORK, NEW YORK","(40.84469, -73.934082)",40.84469,-73.934082
219,19,3946,503 WEST 158 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,06/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000294.0,243016.0,"503 WEST 158 STREET, NEW YORK, NEW YORK","(40.833891, -73.941941)",40.833891,-73.941941
220,20,3948,503 EAST 13 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,08/12/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,989662.0,205080.0,"503 EAST 13 STREET, NEW YORK, NEW YORK","(40.729684, -73.980182)",40.729684,-73.980182
221,21,3963,502 CANAL STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,09/24/2010 07:00:00 AM +0000,Open,Unspecified,,981635.0,203330.0,"502 CANAL STREET, NEW YORK, NEW YORK","(40.7246617, -74.0094689)",40.7246617,-74.0094689
222,22,3964,502 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990937.0,225841.0,"502 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.786714, -73.976112)",40.786714,-73.976112
223,23,3972,501 WEST 173 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1002267.0,246431.0,"501 WEST 173 STREET, NEW YORK, NEW YORK","(40.84323300000001, -73.934708)",40.84323300000001,-73.934708
224,24,3982,501 WEST 113 STREET,MANHATTAN,09 MANHATTAN,Precinct 26,9.0,07/13/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,994527.0,232586.0,"501 WEST 113 STREET, NEW YORK, NEW YORK","(40.80494849999999, -73.9625781)",40.80494849999999,-73.9625781
225,25,4001,500 WEST 184 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1003658.0,248962.0,"500 WEST 184 STREET, NEW YORK, NEW YORK","(40.849954, -73.92964959999999)",40.849954,-73.92964959999999
226,26,4005,500 WEST 170 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,08/03/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001885.0,245739.0,"500 WEST 170 STREET, NEW YORK, NEW YORK","(40.840964, -73.93623699999999)",40.840964,-73.93623699999999
227,27,4010,500 WEST 150 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,04/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999275.0,241151.0,"500 WEST 150 STREET, NEW YORK, NEW YORK","(40.8284001, -73.94533849999999)",40.8284001,-73.94533849999999
228,28,4012,500 WEST 142 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/15/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,998333.0,239250.0,"500 WEST 142 STREET, NEW YORK, NEW YORK","(40.82339, -73.9491867)",40.82339,-73.9491867
229,29,4041,4 STAPLE STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,08/02/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,981630.0,200945.0,"4 STAPLE STREET, NEW YORK, NEW YORK","(40.71828, -74.00952199999999)",40.71828,-74.00952199999999
230,30,4042,4 SAINT MARK'S PLACE,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,01/22/2011 08:00:00 AM +0000,Open,Unspecified,,987166.0,205003.0,"4 SAINT MARK'S PLACE, NEW YORK, NEW YORK","(40.729125, -73.98965)",40.729125,-73.98965
231,31,4050,49 WALKER STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,07/13/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983290.0,201242.0,"49 WALKER STREET, NEW YORK, NEW YORK","(40.718875, -74.003641)",40.718875,-74.003641
232,32,4052,49 THAYER STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/12/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1004560.0,253593.0,"49 THAYER STREET, NEW YORK, NEW YORK","(40.862896, -73.9266652)",40.862896,-73.9266652
233,33,4061,49 DIVISION STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,07/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985498.0,199461.0,"49 DIVISION STREET, NEW YORK, NEW YORK","(40.7140333, -73.99520849999999)",40.7140333,-73.99520849999999
234,34,4089,4960 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1006285.0,255501.0,"4960 BROADWAY, NEW YORK, NEW YORK","(40.86764, -73.9201719)",40.86764,-73.9201719
235,35,4105,4931 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,05/11/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1005921.0,255358.0,"4931 BROADWAY, NEW YORK, NEW YORK","(40.8677058, -73.9216517)",40.8677058,-73.9216517
236,36,4107,492 CONVENT AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/14/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1000130.0,241174.0,"492 CONVENT AVENUE, NEW YORK, NEW YORK","(40.8287238, -73.942495)",40.8287238,-73.942495
237,37,4124,490 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990847.0,225679.0,"490 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.786267, -73.976446)",40.786267,-73.976446
238,38,4147,48 CLINTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,08/05/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,988489.0,201506.0,"48 CLINTON STREET, NEW YORK, NEW YORK","(40.719669, -73.98447)",40.719669,-73.98447
239,39,4188,4845 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,04/08/2011 07:00:00 AM +0000,Open,Graffiti Reported,,1005209.0,255022.0,"4845 BROADWAY, NEW YORK, NEW YORK","(40.8665136, -73.92463020000001)",40.8665136,-73.92463020000001
240,40,4197,483 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,1.0,08/16/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,984229.0,202154.0,"483 BROADWAY, NEW YORK, NEW YORK","(40.721789, -74.00044)",40.721789,-74.00044
241,41,4210,481 FT WASHINGTON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,08/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001376.0,249484.0,"481 FT WASHINGTON AVENUE, NEW YORK, NEW YORK","(40.85167999999999, -73.9383129)",40.85167999999999,-73.9383129
242,42,4241,47 PRINCE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,07/25/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,985410.0,202838.0,"47 PRINCE STREET, NEW YORK, NEW YORK","(40.7235427, -73.9957854)",40.7235427,-73.9957854
243,43,4264,477 WEST 142 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,04/13/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998546.0,239141.0,"477 WEST 142 STREET, NEW YORK, NEW YORK","(40.823411, -73.94865899999999)",40.823411,-73.94865899999999
244,44,4300,4734 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,05/06/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1004076.0,254406.0,"4734 BROADWAY, NEW YORK, NEW YORK","(40.86482729999999, -73.928296)",40.86482729999999,-73.928296
245,45,4340,470 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,08/11/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,990716.0,225444.0,"470 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.7854891, -73.976665)",40.7854891,-73.976665
246,46,4367,46 FT WASHINGTON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,01/12/2011 08:00:00 AM +0000,Open,Unspecified,,999643.0,244172.0,"46 FT WASHINGTON AVENUE, NEW YORK, NEW YORK","(40.836708, -73.94402099999999)",40.836708,-73.94402099999999
247,47,4368,46 CHARLES STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983593.0,207058.0,"46 CHARLES STREET, NEW YORK, NEW YORK","(40.7349987, -74.00235260000001)",40.7349987,-74.00235260000001
248,48,4371,469 WEST 143 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/15/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,998644.0,239383.0,"469 WEST 143 STREET, NEW YORK, NEW YORK","(40.823937, -73.947963)",40.823937,-73.947963
249,49,4379,468 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,08/17/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,990707.0,225427.0,"468 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.7854506, -73.9766927)",40.7854506,-73.9766927
250,50,4387,466 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,08/17/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,990698.0,225411.0,"466 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.78552200000001, -73.976987)",40.78552200000001,-73.976987
251,51,4397,464 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,08/17/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,990689.0,225395.0,"464 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.785457, -73.977034)",40.785457,-73.977034
252,52,4401,4646 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,05/06/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1003655.0,253326.0,"4646 BROADWAY, NEW YORK, NEW YORK","(40.8618291, -73.9298699)",40.8618291,-73.9298699
253,53,4429,461 WEST 164 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,04/07/2011 07:00:00 AM +0000,Open,Unspecified,,1001387.0,244195.0,"461 WEST 164 STREET, NEW YORK, NEW YORK","(40.837112, -73.93794299999999)",40.837112,-73.93794299999999
254,54,4485,456 WEST 154 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,04/19/2011 07:00:00 AM +0000,Open,Unspecified,,1000117.0,241876.0,"456 WEST 154 STREET, NEW YORK, NEW YORK","(40.83081079999999, -73.9432758)",40.83081079999999,-73.9432758
255,55,4486,456 WEST 133 STREET,MANHATTAN,09 MANHATTAN,Precinct 26,7.0,06/16/2011 07:00:00 AM +0000,Open,Unspecified,,997399.0,237046.0,"456 WEST 133 STREET, NEW YORK, NEW YORK","(40.8172499, -73.9523691)",40.8172499,-73.9523691
256,56,4506,453 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,05/13/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1000299.0,235310.0,"453 LENOX AVENUE, NEW YORK, NEW YORK","(40.812661, -73.942356)",40.812661,-73.942356
257,57,4514,452 EAST 78 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,08/04/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,997540.0,220233.0,"452 EAST 78 STREET, NEW YORK, NEW YORK","(40.7707917, -73.95134759999999)",40.7707917,-73.95134759999999
258,58,4517,452 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,08/16/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983992.0,201776.0,"452 BROADWAY, NEW YORK, NEW YORK","(40.720165, -74.00049200000001)",40.720165,-74.00049200000001
259,59,4543,450 WEST 162 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,06/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001099.0,243661.0,"450 WEST 162 STREET, NEW YORK, NEW YORK","(40.83545, -73.9393704)",40.83545,-73.9393704
260,60,4550,450 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,08/16/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983981.0,201758.0,"450 BROADWAY, NEW YORK, NEW YORK","(40.72032000000001, -74.000663)",40.72032000000001,-74.000663
261,61,4566,4500 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,05/06/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1003080.0,251889.0,"4500 BROADWAY, NEW YORK, NEW YORK","(40.8579, -73.93162199999999)",40.8579,-73.93162199999999
262,62,4576,449 WEST 158 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/03/2011 07:00:00 AM +0000,Open,Unspecified,,1000793.0,242740.0,"449 WEST 158 STREET, NEW YORK, NEW YORK","(40.8328386, -73.9399625)",40.8328386,-73.9399625
263,63,4579,449 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,991370.0,224753.0,"449 COLUMBUS AVENUE, NEW YORK, NEW YORK","(40.7835745, -73.9743013)",40.7835745,-73.9743013
264,64,4590,448 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990584.0,225205.0,"448 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.78492, -73.977379)",40.78492,-73.977379
265,65,4607,446 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,08/16/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983958.0,201723.0,"446 BROADWAY, NEW YORK, NEW YORK","(40.720231, -74.000737)",40.720231,-74.000737
266,66,4621,444 EAST 77 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,08/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997377.0,220022.0,"444 EAST 77 STREET, NEW YORK, NEW YORK","(40.77001300000001, -73.95179999999999)",40.77001300000001,-73.95179999999999
267,67,4633,442 WEST 160 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000809.0,243323.0,"442 WEST 160 STREET, NEW YORK, NEW YORK","(40.8345051, -73.94009040000002)",40.8345051,-73.94009040000002
268,68,4658,440 WASHINGTON STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,08/18/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,981376.0,202837.0,"440 WASHINGTON STREET, NEW YORK, NEW YORK","(40.7233882, -74.010616)",40.7233882,-74.010616
269,69,4675,43 RIVERSIDE DRIVE,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,04/22/2011 07:00:00 AM +0000,Open,Unspecified,,988617.0,224695.0,"43 RIVERSIDE DRIVE, NEW YORK, NEW YORK","(40.7835155, -73.9841825)",40.7835155,-73.9841825
270,70,4679,43 MACDOUGAL STREET,MANHATTAN,02 MANHATTAN,Precinct 1,3.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983563.0,204382.0,"43 MACDOUGAL STREET, NEW YORK, NEW YORK","(40.7276573, -74.0024894)",40.7276573,-74.0024894
271,71,4697,4380 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,05/06/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1002609.0,250544.0,"4380 BROADWAY, NEW YORK, NEW YORK","(40.854267, -73.93329)",40.854267,-73.93329
272,72,4725,435 WEST 45 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,06/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,986371.0,216468.0,"435 WEST 45 STREET, NEW YORK, NEW YORK","(40.761189, -73.99260600000001)",40.761189,-73.99260600000001
273,73,4730,434 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,07/18/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000186.0,235094.0,"434 LENOX AVENUE, NEW YORK, NEW YORK","(40.8119156, -73.9423489)",40.8119156,-73.9423489
274,74,4741,433 WEST 218 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/12/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1008352.0,256505.0,"433 WEST 218 STREET, NEW YORK, NEW YORK","(40.8709201, -73.9132575)",40.8709201,-73.9132575
