,Unnamed: 0,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
71,9209,214 RIVERSIDE DRIVE,MANHATTAN,07 MANHATTAN,Precinct 24,6.0,04/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990816.0,228710.0,"214 RIVERSIDE DRIVE, NEW YORK, NEW YORK","(40.794469, -73.975978)"
72,9254,213 EAST 125 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,10/07/2010 07:00:00 AM +0000,Open,Unspecified,,1002167.0,232014.0,"213 EAST 125 STREET, NEW YORK, NEW YORK","(40.803589, -73.93483499999999)"
73,9269,2135 1 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,07/22/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1001343.0,227866.0,"2135 1 AVENUE, NEW YORK, NEW YORK","(40.792191, -73.938549)"
74,9271,2134 2 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,06/30/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000661.0,228172.0,"2134 2 AVENUE, NEW YORK, NEW YORK","(40.7931087, -73.940602)"
75,9290,212 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,05/16/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,997296.0,233375.0,"212 ST NICHOLAS AVENUE, NEW YORK, NEW YORK","(40.8071889, -73.9528653)"
76,9303,2127 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/18/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,998750.0,234357.0,"2127 7 AVENUE, NEW YORK, NEW YORK","(40.8098839, -73.9475507)"
77,9312,2125 1 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,04/21/2011 07:00:00 AM +0000,Open,Unspecified,,1001280.0,227751.0,"2125 1 AVENUE, NEW YORK, NEW YORK","(40.791891, -73.93876999999999)"
78,9354,211 EAST 64 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,04/29/2011 07:00:00 AM +0000,Open,Unspecified,,994279.0,217799.0,"211 EAST 64 STREET, NEW YORK, NEW YORK","(40.7643001, -73.9633638)"
79,9355,211 EAST 64 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,05/03/2011 07:00:00 AM +0000,Open,Unspecified,,994279.0,217799.0,"211 EAST 64 STREET, NEW YORK, NEW YORK","(40.7643001, -73.9633638)"
80,9410,210 WEST 153 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,11/17/2010 08:00:00 AM +0000,Open,Unspecified,,1002034.0,240517.0,"210 WEST 153 STREET, NEW YORK, NEW YORK","(40.8268686, -73.93586189999999)"
81,9412,210 SIXTH AVENUE,MANHATTAN,02 MANHATTAN,Precinct 1,3.0,04/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983324.0,204210.0,"210 SIXTH AVENUE, NEW YORK, NEW YORK","(40.7272182, -74.0031245)"
82,9425,2109 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,04/07/2011 07:00:00 AM +0000,Open,Unspecified,,1001251.0,244441.0,"2109 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8375399, -73.9384236)"
83,9435,210 6 AVENUE,MANHATTAN,02 MANHATTAN,Precinct 1,3.0,05/04/2011 07:00:00 AM +0000,Open,Unspecified,,983324.0,204210.0,"210 6 AVENUE, NEW YORK, NEW YORK","(40.7272182, -74.0031245)"
84,9444,2104 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001216.0,244391.0,"2104 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8375265, -73.938841)"
85,9475,20 PELL STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,01/17/2011 08:00:00 AM +0000,Open,Unspecified,,984761.0,199718.0,"20 PELL STREET, NEW YORK, NEW YORK","(40.7149815, -73.99802199999999)"
86,9485,20 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,01/17/2011 08:00:00 AM +0000,Open,Unspecified,,985065.0,199655.0,"20 BOWERY, NEW YORK, NEW YORK","(40.714796, -73.997387)"
87,9489,209 WADSWORTH AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1002552.0,249456.0,"209 WADSWORTH AVENUE, NEW YORK, NEW YORK","(40.851244, -73.93356299999999)"
88,9508,2095 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001142.0,244247.0,"2095 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8370291, -73.938795)"
89,9519,2090 7 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,9.0,05/13/2011 07:00:00 AM +0000,Open,Unspecified,,998484.0,233890.0,"2090 7 AVENUE, NEW YORK, NEW YORK","(40.8086963, -73.9488705)"
90,9545,2083 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,08/01/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001039.0,244062.0,"2083 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.836523, -73.938941)"
91,9565,207 WEST 38 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,07/18/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,987206.0,213889.0,"207 WEST 38 STREET, NEW YORK, NEW YORK","(40.7539628, -73.98932649999999)"
92,9594,206 WEST 120 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997759.0,232930.0,"206 WEST 120 STREET, NEW YORK, NEW YORK","(40.80588600000001, -73.951526)"
93,9595,206 WEST 118 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/18/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,997561.0,232441.0,"206 WEST 118 STREET, NEW YORK, NEW YORK","(40.8046637, -73.9522307)"
