,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
1737,75 WEST 68 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,01/15/2011 08:00:00 AM +0000,Open,Unspecified,,989861.0,221439.0,"75 WEST 68 STREET, NEW YORK, NEW YORK","(40.774924, -73.980227)"
1739,75 WEST 115 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/20/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,998344.0,231062.0,"75 WEST 115 STREET, NEW YORK, NEW YORK","(40.8011398, -73.94944749999999)"
1744,75 PARK PLACE,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,06/22/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,981096.0,199491.0,"75 PARK PLACE, NEW YORK, NEW YORK","(40.714444, -74.011331)"
1808,74 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,06/28/2011 07:00:00 AM +0000,Open,Unspecified,,999647.0,233403.0,"74 WEST 125 STREET, NEW YORK, NEW YORK","(40.8075381, -73.9449329)"
1828,746 EAST 9 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,08/08/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,990861.0,203236.0,"746 EAST 9 STREET, NEW YORK, NEW YORK","(40.724279, -73.976181)"
1845,742 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,06/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987333.0,217468.0,"742 9 AVENUE, NEW YORK, NEW YORK","(40.763461, -73.9885539)"
1874,73 EAST 10 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,01/15/2011 08:00:00 AM +0000,Open,Unspecified,,986970.0,205677.0,"73 EAST 10 STREET, NEW YORK, NEW YORK","(40.7312536, -73.99035549999999)"
1903,73 4 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,01/12/2011 08:00:00 AM +0000,Open,Unspecified,,986911.0,205665.0,"73 4 AVENUE, NEW YORK, NEW YORK","(40.7312211, -73.9903838)"
1937,72 WEST 106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,07/07/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,994727.0,230352.0,"72 WEST 106 STREET, NEW YORK, NEW YORK","(40.7990622, -73.9624879)"
1950,728 MAIN STREET,MANHATTAN,08 MANHATTAN,Precinct 114,5.0,11/14/2010 08:00:00 AM +0000,Open,Unspecified,,999298.0,218473.0,"728 MAIN STREET, NEW YORK, NEW YORK","(40.7659118, -73.9460629)"
1977,722 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,6.0,06/10/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,992349.0,228388.0,"722 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.793661, -73.97099399999999)"
