,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
9128,2172 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,08/01/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1001649.0,245173.0,"2172 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.83973, -73.9374239)"
9147,216 EAST 125 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,02/01/2011 08:00:00 AM +0000,Open,Mail returned / wrong address,,1002182.0,231999.0,"216 EAST 125 STREET, NEW YORK, NEW YORK","(40.8027692, -73.9335443)"
9167,2160 3 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,8.0,10/08/2010 07:00:00 AM +0000,Open,Unspecified,,1001101.0,230440.0,"2160 3 AVENUE, NEW YORK, NEW YORK","(40.7992251, -73.93910369999999)"
9190,2155 7 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,02/25/2011 08:00:00 AM +0000,Open,Unspecified,,,,"2155 7 AVENUE, NEW YORK, NEW YORK","(40.8106893, -73.9469472)"
9191,2153 5 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,03/14/2011 07:00:00 AM +0000,Open,Unspecified,,,,"2153 5 AVENUE, NEW YORK, NEW YORK","(40.810419, -73.93892199999999)"
9209,214 RIVERSIDE DRIVE,MANHATTAN,07 MANHATTAN,Precinct 24,6.0,04/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990816.0,228710.0,"214 RIVERSIDE DRIVE, NEW YORK, NEW YORK","(40.794469, -73.975978)"
9254,213 EAST 125 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,10/07/2010 07:00:00 AM +0000,Open,Unspecified,,1002167.0,232014.0,"213 EAST 125 STREET, NEW YORK, NEW YORK","(40.803589, -73.93483499999999)"
9269,2135 1 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,07/22/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1001343.0,227866.0,"2135 1 AVENUE, NEW YORK, NEW YORK","(40.792191, -73.938549)"
9271,2134 2 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8.0,06/30/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000661.0,228172.0,"2134 2 AVENUE, NEW YORK, NEW YORK","(40.7931087, -73.940602)"
9290,212 ST NICHOLAS AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,05/16/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,997296.0,233375.0,"212 ST NICHOLAS AVENUE, NEW YORK, NEW YORK","(40.8071889, -73.9528653)"
